street_clean,city_clean,State,Zip,price,bedrooms,baths_label,bed_bath,sqft_living,price_per_sqft,lot_acres,waterfront_flag,basement_flag,view_label,condition_label,home_age,yr_renovated,years_since_update,floors,date,bathrooms,sqft_total_check,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,street,city,statezip
11000 243Rd Ave Ne,Redmond,WA,98053,"$680,000",4,2 3/4,4 bd | 2.75 ba,"2,500",$272,0,No,No,None,Average,15,0,15,2,6/16/2014,2.75,"2,500","4,950",0,0,3,"2,500",0,2010,11000 243rd Ave NE,Redmond,WA 98053
537 N 70Th St,Seattle,WA,98103,"$680,000",3,2  ,3 bd | 2. ba,"1,780",$382,0,No,Yes,None,Excellent,100,0,100,1,7/9/2014,2.00,"1,780","5,720",0,0,5,980,800,1925,537 N 70th St,Seattle,WA 98103
4718 11Th Ave Ne,Seattle,WA,98105,"$680,000",6,2  ,6 bd | 2. ba,"1,670",$407,0,No,Yes,None,Excellent,114,1984,41,1,6/19/2014,2.00,"1,670","3,000",0,0,5,900,770,1911,4718 11th Ave NE,Seattle,WA 98105
7510 45Th Ave Sw,Seattle,WA,98136,"$680,000",3,1 3/4,3 bd | 1.75 ba,"1,760",$386,0,No,Yes,None,Good,65,2001,24,1,6/10/2014,1.75,"1,760","8,400",0,0,4,"1,460",300,1960,7510 45th Ave SW,Seattle,WA 98136
1023 Nw 166Th St,Shoreline,WA,98177,"$680,000",3,2 1/4,3 bd | 2.25 ba,"2,270",$300,1,No,Yes,None,Average,50,0,50,1,6/6/2014,2.25,"2,270","23,900",0,0,3,"1,820",450,1975,1023 NW 166th St,Shoreline,WA 98177
5519 31St Ave Ne,Seattle,WA,98105,"$679,000",4,2 3/4,4 bd | 2.75 ba,"2,100",$323,0,No,Yes,None,Good,97,0,97,1.5,7/9/2014,2.75,"2,100","4,480",0,0,4,"1,780",320,1928,5519 31st Ave NE,Seattle,WA 98105
9108 40Th Ave Sw,Seattle,WA,98136,"$678,500",3,2  ,3 bd | 2. ba,"2,460",$276,0,No,Yes,Good,Good,73,0,73,1,6/12/2014,2.00,"2,460","6,600",0,2,4,"1,370","1,090",1952,9108 40th Ave SW,Seattle,WA 98136
4003 2Nd Ave Ne,Seattle,WA,98105,"$678,333",3,2 1/2,3 bd | 2.5 ba,"1,840",$369,0,No,Yes,None,Average,99,2003,22,1,6/2/2014,2.50,"1,840","3,035",0,0,3,920,920,1926,4003 2nd Ave NE,Seattle,WA 98105
3046 Quail Creek Way Ne,Redmond,WA,98053,"$677,100",4,2 1/2,4 bd | 2.5 ba,"2,150",$315,1,No,No,None,Average,28,0,28,2,6/26/2014,2.50,"2,150","27,540",0,0,3,"2,150",0,1997,3046 Quail Creek Way NE,Redmond,WA 98053
7238 221St Ave Ne,Redmond,WA,98053,"$677,100",4,2 1/2,4 bd | 2.5 ba,"2,540",$267,1,No,No,None,Average,38,2000,25,2,6/27/2014,2.50,"2,540","38,677",0,0,3,"2,540",0,1987,7238 221st Ave NE,Redmond,WA 98053
1330 N Lucas Pl,Seattle,WA,98103,"$677,000",3,2  ,3 bd | 2. ba,"2,000",$339,0,No,Yes,None,Good,109,0,109,1,5/22/2014,2.00,"2,000","3,207",0,0,4,"1,100",900,1916,1330 N Lucas Pl,Seattle,WA 98103
10721 Marine View Dr Sw,Seattle,WA,98146,"$675,000",6,1 3/4,6 bd | 1.75 ba,"2,740",$246,0,No,Yes,Great,Average,72,0,72,1,6/17/2014,1.75,"2,740","6,360",0,3,3,"1,370","1,370",1953,10721 Marine View Dr SW,Seattle,WA 98146
12037 6Th Ave Nw,Seattle,WA,98177,"$675,000",3,2 1/2,3 bd | 2.5 ba,"2,540",$266,0,No,No,Fair,Good,85,2001,24,2,5/27/2014,2.50,"2,540","7,680",0,1,4,"2,540",0,1940,12037 6th Ave NW,Seattle,WA 98177
14301-14399 Se 63Rd St,Bellevue,WA,98006,"$675,000",5,2 1/4,5 bd | 2.25 ba,"2,900",$233,0,No,Yes,None,Average,40,0,40,1,7/2/2014,2.25,"2,900","10,300",0,0,3,"1,450","1,450",1985,14301-14399 SE 63rd St,Bellevue,WA 98006
11409 Se 71St Pl,Newcastle,WA,98056,"$675,000",4,2 1/2,4 bd | 2.5 ba,"3,000",$225,0,No,No,None,Average,19,0,19,2,5/13/2014,2.50,"3,000","5,548",0,0,3,"3,000",0,2006,11409 SE 71st Pl,Newcastle,WA 98056
17428 7Th Pl Sw,Normandy Park,WA,98166,"$675,000",4,3  ,4 bd | 3. ba,"2,690",$251,1,No,No,None,Average,71,1999,26,1,5/20/2014,3.00,"2,690","28,300",0,0,3,"2,690",0,1954,17428 7th Pl SW,Normandy Park,WA 98166
16822 Ne 87Th St,Redmond,WA,98052,"$675,000",3,2 1/4,3 bd | 2.25 ba,"1,990",$339,0,No,No,None,Good,38,0,38,2,5/20/2014,2.25,"1,990","10,260",0,0,4,"1,990",0,1987,16822 NE 87th St,Redmond,WA 98052
2830 177Th Ave Ne,Redmond,WA,98052,"$675,000",5,3  ,5 bd | 3. ba,"3,410",$198,0,No,Yes,None,Good,57,0,57,1,5/13/2014,3.00,"3,410","9,600",0,0,4,"1,870","1,540",1968,2830 177th Ave NE,Redmond,WA 98052
10090 177Th Ave Ne,Redmond,WA,98052,"$675,000",3,2 1/4,3 bd | 2.25 ba,"2,610",$259,0,No,No,None,Average,37,2000,25,2,6/2/2014,2.25,"2,610","9,002",0,0,3,"2,610",0,1988,10090 177th Ave NE,Redmond,WA 98052
23339 Ne 126Th St,Redmond,WA,98053,"$675,000",3,3 1/2,3 bd | 3.5 ba,"2,300",$293,0,No,No,None,Average,21,2003,22,1,6/24/2014,3.50,"2,300","5,611",0,0,3,"2,300",0,2004,23339 NE 126th St,Redmond,WA 98053
15017-15023 Ne 144Th St,Redmond,WA,98052,"$675,000",3,3  ,3 bd | 3. ba,"2,980",$227,1,No,Yes,None,Average,44,2013,12,1,5/25/2014,3.00,"2,980","28,000",0,0,3,"1,820","1,160",1981,15017-15023 NE 144th St,Redmond,WA 98052
26007 Se 27Th St,Sammamish,WA,98075,"$675,000",4,2 1/2,4 bd | 2.5 ba,"2,560",$264,1,No,No,None,Good,38,0,38,2,5/23/2014,2.50,"2,560","36,601",0,0,4,"2,560",0,1987,26007 SE 27th St,Sammamish,WA 98075
22120 Ne 26Th Pl,Sammamish,WA,98074,"$675,000",4,2 1/2,4 bd | 2.5 ba,"2,810",$240,0,No,No,None,Average,43,0,43,2,6/23/2014,2.50,"2,810","11,120",0,0,3,"2,810",0,1982,22120 NE 26th Pl,Sammamish,WA 98074
618 Nw 49Th St,Seattle,WA,98107,"$675,000",4,3  ,4 bd | 3. ba,"2,400",$281,0,No,Yes,None,Good,61,0,61,1,5/12/2014,3.00,"2,400","3,340",0,0,4,"1,200","1,200",1964,618 NW 49th St,Seattle,WA 98107
6227-6299 Whitaker Ln Se,Snoqualmie,WA,98065,"$675,000",5,2 1/2,5 bd | 2.5 ba,"3,200",$211,0,No,No,None,Average,16,0,16,2,5/16/2014,2.50,"3,200","6,455",0,0,3,"3,200",0,2009,6227-6299 Whitaker Ln SE,Snoqualmie,WA 98065
922 N 91St St,Seattle,WA,98103,"$674,600",4,2 1/2,4 bd | 2.5 ba,"2,610",$258,0,No,No,None,Average,19,0,19,2,7/8/2014,2.50,"2,610","5,140",0,0,3,"2,610",0,2006,922 N 91st St,Seattle,WA 98103
3148 234Th Ct Se,Sammamish,WA,98075,"$673,477",4,2 1/2,4 bd | 2.5 ba,"2,740",$246,0,No,No,None,Good,35,0,35,2,5/27/2014,2.50,"2,740","12,899",0,0,4,"2,740",0,1990,3148 234th Ct SE,Sammamish,WA 98075
22101 Se 28Th St,Sammamish,WA,98075,"$673,477",4,2 1/2,4 bd | 2.5 ba,"1,820",$370,0,No,No,None,Average,38,2000,25,2,7/1/2014,2.50,"1,820","20,011",0,0,3,"1,820",0,1987,22101 SE 28th St,Sammamish,WA 98075
24588-24638 Se Issaquah-Fall City Rd,Issaquah,WA,98029,"$673,000",3,2 3/4,3 bd | 2.75 ba,"2,830",$238,0,No,No,None,Average,13,1912,113,2,7/8/2014,2.75,"2,830","3,496",0,0,3,"2,830",0,2012,24588-24638 SE Issaquah-Fall City Rd,Issaquah,WA 98029
8516 Se 78Th St,Mercer Island,WA,98040,"$672,500",4,2 1/4,4 bd | 2.25 ba,"2,420",$278,0,No,No,None,Good,52,0,52,2,6/24/2014,2.25,"2,420","10,200",0,0,4,"2,420",0,1973,8516 SE 78th St,Mercer Island,WA 98040
22615 Se 14Th Pl,Sammamish,WA,98075,"$672,500",4,2 3/4,4 bd | 2.75 ba,"2,620",$257,0,No,No,None,Average,25,0,25,2,5/29/2014,2.75,"2,620","6,707",0,0,3,"2,620",0,2000,22615 SE 14th Pl,Sammamish,WA 98075
8022 22Nd Ave Nw,Seattle,WA,98117,"$672,500",3,2 1/4,3 bd | 2.25 ba,"2,400",$280,0,No,Yes,None,Good,86,1989,36,1.5,6/27/2014,2.25,"2,400","5,300",0,0,4,"1,250","1,150",1939,8022 22nd Ave NW,Seattle,WA 98117
3249 E Ames Lake Dr Ne,Redmond,WA,98053,"$672,000",3,2 1/2,3 bd | 2.5 ba,"2,620",$256,0,No,No,None,Average,33,0,33,2,5/29/2014,2.50,"2,620","21,587",0,0,3,"2,620",0,1992,3249 E Ames Lake Dr NE,Redmond,WA 98053
4222 Ne 72Nd St,Seattle,WA,98115,"$671,000",4,3  ,4 bd | 3. ba,"3,130",$214,0,No,Yes,None,Average,72,0,72,1.5,7/5/2014,3.00,"3,130","5,700",0,0,3,"1,750","1,380",1953,4222 NE 72nd St,Seattle,WA 98115
2333 12Th Ave E,Seattle,WA,98102,"$670,500",4,2  ,4 bd | 2. ba,"1,590",$422,0,No,No,None,Average,74,1994,31,1,5/23/2014,2.00,"1,590","6,750",0,0,3,"1,590",0,1951,2333 12th Ave E,Seattle,WA 98102
5625 Sw Orleans St,Seattle,WA,98116,"$670,000",3,2 1/2,3 bd | 2.5 ba,"2,050",$327,0,No,Yes,Great,Average,69,2001,24,1,6/12/2014,2.50,"2,050","6,420",0,3,3,"1,730",320,1956,5625 SW Orleans St,Seattle,WA 98116
9400 44Th Ave Sw,Seattle,WA,98136,"$670,000",3,2 1/2,3 bd | 2.5 ba,"3,310",$202,0,No,Yes,Good,Average,17,0,17,2,6/23/2014,2.50,"3,310","5,300",0,2,3,"2,440",870,2008,9400 44th Ave SW,Seattle,WA 98136
14717 245Th Ave Se,Issaquah,WA,98027,"$670,000",6,3  ,6 bd | 3. ba,"4,050",$165,1,No,Yes,None,Good,55,0,55,2,7/7/2014,3.00,"4,050","36,171",0,0,4,"2,620","1,430",1970,14717 245th Ave SE,Issaquah,WA 98027
746 Boylston Ave E,Seattle,WA,98102,"$670,000",3,2 1/2,3 bd | 2.5 ba,"2,700",$248,0,No,Yes,None,Average,22,0,22,2,7/10/2014,2.50,"2,700","1,438",0,0,3,"1,280","1,420",2003,746 Boylston Ave E,Seattle,WA 98102
933 32Nd Ave,Seattle,WA,98122,"$670,000",3,1 1/2,3 bd | 1.5 ba,"1,490",$450,0,No,No,None,Good,119,1990,35,1.5,6/26/2014,1.50,"1,490","4,400",0,0,4,"1,490",0,1906,933 32nd Ave,Seattle,WA 98122
37927 Se 82Nd Pl,Snoqualmie,WA,98065,"$670,000",5,2 1/2,5 bd | 2.5 ba,"2,860",$234,2,No,No,None,Excellent,67,0,67,2,7/7/2014,2.50,"2,860","68,519",0,0,5,"2,860",0,1958,37927 SE 82nd Pl,Snoqualmie,WA 98065
2522 227Th Pl Ne,Sammamish,WA,98074,"$669,950",4,2 1/2,4 bd | 2.5 ba,"2,670",$251,0,No,No,None,Average,29,0,29,2,6/26/2014,2.50,"2,670","11,877",0,0,3,"2,670",0,1996,2522 227th Pl NE,Sammamish,WA 98074
8044 20Th Ave Nw,Seattle,WA,98117,"$669,500",4,2 1/4,4 bd | 2.25 ba,"2,500",$268,0,No,Yes,None,Good,85,2001,24,1.5,6/30/2014,2.25,"2,500","4,046",0,0,4,"1,520",980,1940,8044 20th Ave NW,Seattle,WA 98117
3533 Sw 171St St,Burien,WA,98166,"$669,000",2,1 3/4,2 bd | 1.75 ba,"1,950",$343,0,No,Yes,Great,Good,73,0,73,1,6/26/2014,1.75,"1,950","10,766",0,3,4,"1,160",790,1952,3533 SW 171st St,Burien,WA 98166
18222 Ne 186Th St,Woodinville,WA,98077,"$669,000",4,2 3/4,4 bd | 2.75 ba,"2,700",$248,1,No,No,None,Excellent,49,0,49,2,6/17/2014,2.75,"2,700","35,362",0,0,5,"2,700",0,1976,18222 NE 186th St,Woodinville,WA 98077
2148 Nw 197Th St,Shoreline,WA,98177,"$668,750",4,2 1/2,4 bd | 2.5 ba,"2,340",$286,0,No,Yes,Good,Average,61,2000,25,1,5/21/2014,2.50,"2,340","6,420",0,2,3,"1,590",750,1964,2148 NW 197th St,Shoreline,WA 98177
667 237Th Pl Se,Sammamish,WA,98074,"$668,500",4,2 1/2,4 bd | 2.5 ba,"2,710",$247,0,No,No,None,Average,26,0,26,2,6/2/2014,2.50,"2,710","5,500",0,0,3,"2,710",0,1999,667 237th Pl SE,Sammamish,WA 98074
5627 167Th Pl Se,Bellevue,WA,98006,"$667,781",5,2 3/4,5 bd | 2.75 ba,"3,040",$220,0,No,No,None,Average,32,0,32,2,6/3/2014,2.75,"3,040","10,257",0,0,3,"3,040",0,1993,5627 167th Pl SE,Bellevue,WA 98006
7535 18Th Ave Ne,Seattle,WA,98115,"$667,500",3,2  ,3 bd | 2. ba,"1,880",$355,0,No,Yes,None,Excellent,98,0,98,1,6/17/2014,2.00,"1,880","3,800",0,0,5,"1,030",850,1927,7535 18th Ave NE,Seattle,WA 98115
40201 292Nd Ave Se,Enumclaw,WA,98022,"$667,000",3,1 3/4,3 bd | 1.75 ba,"3,320",$201,11,No,Yes,Great,Good,92,1982,43,1.5,6/26/2014,1.75,"3,320","478,288",0,3,4,"2,260","1,060",1933,40201 292nd Ave SE,Enumclaw,WA 98022
3239 Nw 64Th St,Seattle,WA,98107,"$667,000",3,1 1/2,3 bd | 1.5 ba,"1,720",$388,0,No,No,None,Average,118,1983,42,2,6/16/2014,1.50,"1,720","8,100",0,0,3,"1,720",0,1907,3239 NW 64th St,Seattle,WA 98107
10030 44Th Ave Sw,Seattle,WA,98146,"$665,900",4,2 1/4,4 bd | 2.25 ba,"2,870",$232,0,No,Yes,Fair,Good,99,1993,32,2,6/20/2014,2.25,"2,870","5,453",0,1,4,"2,220",650,1926,10030 44th Ave SW,Seattle,WA 98146
12115 Se 44Th Pl,Bellevue,WA,98006,"$665,000",3,2 3/4,3 bd | 2.75 ba,"1,800",$369,0,No,Yes,None,Good,59,0,59,1,5/23/2014,2.75,"1,800","9,550",0,0,4,"1,320",480,1966,12115 SE 44th Pl,Bellevue,WA 98006
7502 132Nd Ave Ne,Kirkland,WA,98033,"$665,000",5,2  ,5 bd | 2. ba,"2,800",$238,0,No,Yes,None,Good,62,0,62,1,7/7/2014,2.00,"2,800","17,788",0,0,4,"1,400","1,400",1963,7502 132nd Ave NE,Kirkland,WA 98033
14623 Se 82Nd Ct,Newcastle,WA,98059,"$665,000",4,2 1/2,4 bd | 2.5 ba,"2,600",$256,0,No,No,None,Average,29,0,29,2,5/22/2014,2.50,"2,600","17,388",0,0,3,"2,600",0,1996,14623 SE 82nd Ct,Newcastle,WA 98059
1345 232Nd Pl Ne,Sammamish,WA,98074,"$665,000",3,2 1/2,3 bd | 2.5 ba,"2,190",$304,0,No,No,None,Average,38,2000,25,2,5/28/2014,2.50,"2,190","10,370",0,0,3,"2,190",0,1987,1345 232nd Pl NE,Sammamish,WA 98074
2110 216Th Pl Ne,Sammamish,WA,98074,"$665,000",4,2 1/2,4 bd | 2.5 ba,"2,720",$244,0,No,No,None,Average,38,2000,25,2,6/2/2014,2.50,"2,720","10,000",0,0,3,"2,720",0,1987,2110 216th Pl NE,Sammamish,WA 98074
324 Nw 48Th St,Seattle,WA,98107,"$665,000",3,2  ,3 bd | 2. ba,"1,940",$343,0,No,Yes,None,Excellent,81,0,81,1.5,5/13/2014,2.00,"1,940","5,820",0,0,5,"1,150",790,1944,324 NW 48th St,Seattle,WA 98107
5407 S Lucile St,Seattle,WA,98118,"$665,000",6,2 3/4,6 bd | 2.75 ba,"2,840",$234,0,No,Yes,None,Excellent,64,0,64,1,6/24/2014,2.75,"2,840","8,346",0,0,5,"1,420","1,420",1961,5407 S Lucile St,Seattle,WA 98118
3907 S Edmunds St,Seattle,WA,98118,"$665,000",6,3  ,6 bd | 3. ba,"4,250",$156,0,No,Yes,None,Good,123,0,123,2.5,6/11/2014,3.00,"4,250","4,400",0,0,4,"3,020","1,230",1902,3907 S Edmunds St,Seattle,WA 98118
1604 1St Ave W,Seattle,WA,98119,"$665,000",2,1  ,2 bd | 1. ba,"1,110",$599,0,No,No,None,Average,100,2002,23,1,6/27/2014,1.00,"1,110","3,200",0,0,3,"1,110",0,1925,1604 1st Ave W,Seattle,WA 98119
20324 194Th Pl Ne,Woodinville,WA,98077,"$665,000",4,2 1/2,4 bd | 2.5 ba,"2,790",$238,1,No,No,None,Good,36,0,36,2,6/13/2014,2.50,"2,790","43,091",0,0,4,"2,790",0,1989,20324 194th Pl NE,Woodinville,WA 98077
15325 179Th Ave Ne,Woodinville,WA,98072,"$665,000",3,2 1/2,3 bd | 2.5 ba,"2,610",$255,1,No,No,None,Average,37,2000,25,2,6/27/2014,2.50,"2,610","35,000",0,0,3,"2,610",0,1988,15325 179th Ave NE,Woodinville,WA 98072
7528 S Laurel St,Seattle,WA,98178,"$664,950",5,3  ,5 bd | 3. ba,"3,190",$208,0,No,Yes,Good,Average,12,1923,102,1,6/23/2014,3.00,"3,190","7,081",0,2,3,"1,890","1,300",2013,7528 S Laurel St,Seattle,WA 98178
7030 Sw Maury Park Rd,Vashon,WA,98070,"$663,000",3,2 1/2,3 bd | 2.5 ba,"2,480",$267,1,Yes,No,Great,Good,51,0,51,1.5,6/26/2014,2.50,"2,480","37,843",1,3,4,"2,480",0,1974,7030 SW Maury Park Rd,Vashon,WA 98070
7028 20Th Ave Nw,Seattle,WA,98117,"$663,000",3,2  ,3 bd | 2. ba,"1,480",$448,0,No,Yes,None,Excellent,97,1970,55,1,6/26/2014,2.00,"1,480","3,876",0,0,5,860,620,1928,7028 20th Ave NW,Seattle,WA 98117
2552 57Th Ave Sw,Seattle,WA,98116,"$662,990",3,1 3/4,3 bd | 1.75 ba,"1,240",$535,0,No,No,None,Excellent,99,0,99,1.5,5/23/2014,1.75,"1,240","3,600",0,0,5,"1,240",0,1926,2552 57th Ave SW,Seattle,WA 98116
16426 Ne 107Th Pl,Redmond,WA,98052,"$661,500",5,2 1/2,5 bd | 2.5 ba,"2,500",$265,0,No,Yes,None,Good,48,0,48,1,6/27/2014,2.50,"2,500","7,200",0,0,4,"1,490","1,010",1977,16426 NE 107th Pl,Redmond,WA 98052
2319 41St Ave Sw,Seattle,WA,98116,"$661,254",4,4  ,4 bd | 4. ba,"2,290",$289,0,No,Yes,None,Excellent,85,0,85,1.5,5/23/2014,4.00,"2,290","6,250",0,0,5,"1,690",600,1940,2319 41st Ave SW,Seattle,WA 98116
4426 38Th Ave Sw,Seattle,WA,98126,"$661,000",4,2 1/4,4 bd | 2.25 ba,"1,990",$332,0,No,Yes,Good,Good,93,1958,67,1.5,6/2/2014,2.25,"1,990","4,600",0,2,4,"1,420",570,1932,4426 38th Ave SW,Seattle,WA 98126
8517 143Rd Ct Ne,Redmond,WA,98052,"$661,000",4,2 1/2,4 bd | 2.5 ba,"2,496",$265,0,No,No,None,Average,27,2006,19,2,6/19/2014,2.50,"2,496","8,058",0,0,3,"2,496",0,1998,8517 143rd Ct NE,Redmond,WA 98052
2739 31St Ave S,Seattle,WA,98144,"$660,500",5,2 1/2,5 bd | 2.5 ba,"2,950",$224,0,No,Yes,None,Excellent,107,0,107,1.5,7/2/2014,2.50,"2,950","5,500",0,0,5,"1,720","1,230",1918,2739 31st Ave S,Seattle,WA 98144
12016 Se 42Nd St,Bellevue,WA,98006,"$660,000",3,1  ,3 bd | 1. ba,"1,210",$545,0,No,No,Fair,Average,70,2009,16,1,6/26/2014,1.00,"1,210","9,622",0,1,3,"1,210",0,1955,12016 SE 42nd St,Bellevue,WA 98006
24554 Se 39Th Pl,Issaquah,WA,98029,"$660,000",4,3 1/4,4 bd | 3.25 ba,"3,030",$218,0,No,No,None,Excellent,37,0,37,2,6/20/2014,3.25,"3,030","9,273",0,0,5,"3,030",0,1988,24554 SE 39th Pl,Issaquah,WA 98029
10741 242Nd Pl Ne,Redmond,WA,98053,"$660,000",3,2 1/2,3 bd | 2.5 ba,"2,450",$269,0,No,No,None,Average,15,0,15,2,5/22/2014,2.50,"2,450","4,332",0,0,3,"2,450",0,2010,10741 242nd Pl NE,Redmond,WA 98053
15031 Ne 144Th St,Redmond,WA,98052,"$660,000",3,2  ,3 bd | 2. ba,"2,570",$257,1,No,Yes,None,Average,42,2009,16,1,7/1/2014,2.00,"2,570","28,500",0,0,3,"1,970",600,1983,15031 NE 144th St,Redmond,WA 98052
22518 Se 15Th Pl,Sammamish,WA,98075,"$660,000",4,2 1/2,4 bd | 2.5 ba,"2,510",$263,0,No,No,None,Average,23,0,23,2,7/9/2014,2.50,"2,510","4,543",0,0,3,"2,510",0,2002,22518 SE 15th Pl,Sammamish,WA 98075
21311 Se 20Th St,Sammamish,WA,98075,"$660,000",3,2 1/4,3 bd | 2.25 ba,"2,675",$247,1,No,No,None,Average,41,0,41,2,5/31/2014,2.25,"2,675","40,910",0,0,3,"2,675",0,1984,21311 SE 20th St,Sammamish,WA 98075
20850 Ne 26Th Pl,Sammamish,WA,98074,"$660,000",4,1 3/4,4 bd | 1.75 ba,"2,780",$237,0,No,No,None,Good,47,2000,25,2,6/1/2014,1.75,"2,780","9,900",0,0,4,"2,780",0,1978,20850 NE 26th Pl,Sammamish,WA 98074
768 N 75Th St,Seattle,WA,98103,"$660,000",3,1  ,3 bd | 1. ba,"1,240",$532,0,No,No,None,Good,98,0,98,1,7/9/2014,1.00,"1,240","3,500",0,0,4,"1,240",0,1927,768 N 75th St,Seattle,WA 98103
743 N 80Th St,Seattle,WA,98103,"$660,000",3,3  ,3 bd | 3. ba,"2,340",$282,0,No,Yes,None,Excellent,100,0,100,2,6/12/2014,3.00,"2,340","2,970",0,0,5,"2,160",180,1925,743 N 80th St,Seattle,WA 98103
6054 5Th Ave Ne,Seattle,WA,98115,"$660,000",2,2 1/4,2 bd | 2.25 ba,"2,550",$259,0,No,Yes,None,Excellent,123,0,123,2,6/24/2014,2.25,"2,550","6,000",0,0,5,"1,860",690,1902,6054 5th Ave NE,Seattle,WA 98115
2402 Delmar Dr E,Seattle,WA,98102,"$660,000",3,2 1/2,3 bd | 2.5 ba,"2,290",$288,0,No,No,None,Good,72,1983,42,3,6/3/2014,2.50,"2,290","2,798",0,0,4,"2,290",0,1953,2402 Delmar Dr E,Seattle,WA 98102
6040 27Th Ave Ne,Seattle,WA,98115,"$660,000",3,1 3/4,3 bd | 1.75 ba,"1,980",$333,0,No,Yes,None,Good,99,1993,32,1.5,6/6/2014,1.75,"1,980","3,300",0,0,4,"1,140",840,1926,6040 27th Ave NE,Seattle,WA 98115
4318 Corliss Ave N,Seattle,WA,98103,"$660,000",3,3 1/4,3 bd | 3.25 ba,"1,980",$333,0,No,No,None,Average,38,2000,25,3,6/23/2014,3.25,"1,980","2,850",0,0,3,"1,980",0,1987,4318 Corliss Ave N,Seattle,WA 98103
220 17Th Ave,Seattle,WA,98122,"$660,000",6,1 3/4,6 bd | 1.75 ba,"1,840",$359,0,No,Yes,None,Average,125,2005,20,1,6/16/2014,1.75,"1,840","2,774",0,0,3,"1,060",780,1900,220 17th Ave,Seattle,WA 98122
9314 Ash Ave Se,Snoqualmie,WA,98065,"$660,000",4,3 1/2,4 bd | 3.5 ba,"3,400",$194,0,No,No,None,Average,13,1912,113,2,5/13/2014,3.50,"3,400","5,196",0,0,3,"3,400",0,2012,9314 Ash Ave SE,Snoqualmie,WA 98065
6504-6618 Ne 1St St,Renton,WA,98059,"$659,950",4,2 3/4,4 bd | 2.75 ba,"3,510",$188,0,No,No,None,Average,11,0,11,2,7/9/2014,2.75,"3,510","9,400",0,0,3,"3,510",0,2014,6504-6618 NE 1st St,Renton,WA 98059
11605 Se 45Th Pl,Bellevue,WA,98006,"$659,500",4,3  ,4 bd | 3. ba,"2,620",$252,0,No,Yes,None,Good,69,0,69,1,6/19/2014,3.00,"2,620","18,362",0,0,4,"1,870",750,1956,11605 SE 45th Pl,Bellevue,WA 98006
4115 Ne 62Nd St,Seattle,WA,98115,"$659,500",3,1 3/4,3 bd | 1.75 ba,"1,820",$362,0,No,Yes,None,Good,68,2001,24,1,6/10/2014,1.75,"1,820","5,500",0,0,4,"1,620",200,1957,4115 NE 62nd St,Seattle,WA 98115
3738 86Th Ave Se,Mercer Island,WA,98040,"$659,000",4,2  ,4 bd | 2. ba,"2,090",$315,0,No,No,None,Good,74,1999,26,1,7/2/2014,2.00,"2,090","10,800",0,0,4,"2,090",0,1951,3738 86th Ave SE,Mercer Island,WA 98040
2651 230Th Ave Se,Sammamish,WA,98075,"$659,000",3,2 1/2,3 bd | 2.5 ba,"2,510",$263,0,No,No,None,Average,29,0,29,2,6/10/2014,2.50,"2,510","6,320",0,0,3,"2,510",0,1996,2651 230th Ave SE,Sammamish,WA 98075
10326 Fischer Pl Ne,Seattle,WA,98125,"$659,000",4,2 1/2,4 bd | 2.5 ba,"3,190",$207,0,No,Yes,None,Excellent,79,0,79,1,5/30/2014,2.50,"3,190","11,375",0,0,5,"2,210",980,1946,10326 Fischer Pl NE,Seattle,WA 98125
12923 206Th Ct Se,Issaquah,WA,98027,"$658,588",3,2 1/4,3 bd | 2.25 ba,"2,560",$257,1,No,No,None,Average,39,0,39,2,6/4/2014,2.25,"2,560","41,346",0,0,3,"2,560",0,1986,12923 206th Ct SE,Issaquah,WA 98027
8830 Mcintosh Ct Se,Snoqualmie,WA,98065,"$658,000",4,2 3/4,4 bd | 2.75 ba,"3,310",$199,0,No,No,None,Average,17,0,17,2,5/29/2014,2.75,"3,310","6,166",0,0,3,"3,310",0,2008,8830 McIntosh Ct SE,Snoqualmie,WA 98065
32927 143Rd Ct Se,Auburn,WA,98092,"$657,500",4,2 3/4,4 bd | 2.75 ba,"4,140",$159,1,No,No,None,Average,23,0,23,2,6/11/2014,2.75,"4,140","24,190",0,0,3,"4,140",0,2002,32927 143rd Ct SE,Auburn,WA 98092
12423 Ne 6Th Pl,Bellevue,WA,98005,"$657,500",3,2  ,3 bd | 2. ba,"2,320",$283,0,No,Yes,None,Average,69,2001,24,1,7/10/2014,2.00,"2,320","10,960",0,0,3,"1,510",810,1956,12423 NE 6th Pl,Bellevue,WA 98005
1917 235Th Ct Ne,Sammamish,WA,98074,"$657,500",3,2 1/2,3 bd | 2.5 ba,"2,670",$246,0,No,No,None,Average,36,0,36,2,5/22/2014,2.50,"2,670","10,496",0,0,3,"2,670",0,1989,1917 235th Ct NE,Sammamish,WA 98074
5524 S Morgan St,Seattle,WA,98118,"$657,000",4,1 3/4,4 bd | 1.75 ba,"2,740",$240,0,No,Yes,Good,Average,71,2005,20,1,5/22/2014,1.75,"2,740","8,520",0,2,3,"1,370","1,370",1954,5524 S Morgan St,Seattle,WA 98118
7615 3Rd Ave Nw,Seattle,WA,98117,"$657,000",4,2 1/2,4 bd | 2.5 ba,"2,180",$301,0,No,Yes,None,Good,99,1993,32,1.5,6/25/2014,2.50,"2,180","3,375",0,0,4,"1,420",760,1926,7615 3rd Ave NW,Seattle,WA 98117
