Address,City,State,Zip,Price,Bedrooms,Bathrooms,Living Area (SqFt),Price per SqFt,Lot Size (Acres),Waterfront,Basement,View,Condition,Home Age,Year Renovated,Years Since Update,Floors,,
4316 331St Ave Ne,Carnation,WA,98014,"$650,000",4.00,3,"3,720",$175 ,1,No,Yes,None,Average,22,0,22,1,,
23836 Se 41St St,Issaquah,WA,98029,"$650,000",4.00,3,"2,400",$271 ,0,No,No,None,Average,35,2009,16,2,,
7014 Ne 139Th St,Kirkland,WA,98034,"$650,000",4.00,2,"2,560",$254 ,0,No,No,None,Good,52,0,52,2,,
2719 63Rd Ave Se,Mercer Island,WA,98040,"$650,000",3.00,2,"1,380",$471 ,0,No,No,None,Excellent,65,0,65,1,,
22540 Ne 92Nd St,Redmond,WA,98053,"$650,000",4.00,3,"3,040",$214 ,0,No,No,None,Average,22,0,22,2,,
1920 224Th Pl Ne,Sammamish,WA,98074,"$650,000",4.00,3,"2,840",$229 ,0,No,No,None,Average,35,2009,16,2,,
1723 27Th Ave,Seattle,WA,98122,"$650,000",2.00,1,"1,050",$619 ,0,No,Yes,None,Average,121,0,121,1,,
1417 26Th Ave,Seattle,WA,98122,"$650,000",5.00,3,"2,550",$255 ,0,No,No,None,Excellent,123,0,123,1.5,,
118 N 84Th St,Seattle,WA,98103,"$650,000",4.00,3,"2,610",$249 ,0,No,Yes,None,Excellent,115,0,115,3,,
615 Nw 92Nd St,Seattle,WA,98117,"$650,000",4.00,3,"2,210",$294 ,0,No,No,None,Average,12,1923,102,2,,
1923 46Th Ave Sw,Seattle,WA,98116,"$650,000",2.00,1,"1,030",$631 ,0,No,No,None,Excellent,97,1970,55,1,,
9025 26Th Ave Nw,Seattle,WA,98117,"$650,000",4.00,3,"1,910",$340 ,0,No,Yes,None,Good,85,2001,24,1,,
830 W Armour St,Seattle,WA,98119,"$650,000",5.00,2,"1,260",$516 ,0,No,No,None,Average,99,2003,22,1.5,,
2811 14Th Ave W,Seattle,WA,98119,"$649,950",3.00,3,"1,500",$433 ,0,No,Yes,None,Average,11,0,11,2,,
21601-21799 Ne 175Th St,Woodinville,WA,98077,"$649,950",4.00,3,"2,350",$277 ,1,No,No,None,Good,31,0,31,2,,
29836 Ne Tolt Hill Rd,Carnation,WA,98014,"$649,000",2.00,2,"2,260",$287 ,6,No,Yes,Good,Average,20,0,20,2,,
2436 Dexter Ave N,Seattle,WA,98109,"$648,475",4.00,3,"2,250",$288 ,0,No,Yes,None,Average,74,1994,31,1,,
137 18Th Ave,Kirkland,WA,98033,"$648,360",4.00,2,"2,260",$287 ,0,No,Yes,Fair,Good,78,1988,37,1,,
3008 233Rd Ave Se,Issaquah,WA,98075,"$648,000",4.00,3,"2,380",$272 ,0,No,No,None,Average,33,0,33,2,,
36011 Se Kendall Peak St,Snoqualmie,WA,98065,"$648,000",4.00,3,"3,290",$197 ,0,No,No,None,Average,17,0,17,2,,
1727 Lake Washington Blvd S,Seattle,WA,98144,"$647,500",3.00,2,"1,290",$502 ,0,No,No,None,Excellent,109,0,109,1,,
215 243Rd Ave Se,Sammamish,WA,98074,"$647,000",4.00,3,"3,040",$213 ,0,No,No,None,Average,26,0,26,2,,
19585-19799 204Th Ave Ne,Woodinville,WA,98077,"$646,213",4.00,3,"3,430",$188 ,1,No,No,None,Average,12,1923,102,2,,
4615 158Th Ave Se,Bellevue,WA,98006,"$646,000",4.00,2,"2,500",$258 ,0,No,Yes,None,Good,47,2000,25,1,,
8903 3Rd Ave Nw,Seattle,WA,98117,"$646,000",4.00,3,"2,310",$280 ,0,No,No,None,Average,17,0,17,2,,
6316 26Th Ave Nw,Seattle,WA,98107,"$646,000",5.00,3,"2,870",$225 ,0,No,Yes,None,Average,49,0,49,1,,
6723 17Th Ave Nw,Seattle,WA,98117,"$645,500",2.00,1,"1,890",$342 ,0,No,No,None,Good,116,1989,36,1.5,,
6901 123Rd Ave Ne,Kirkland,WA,98033,"$645,325",3.00,3,"2,670",$242 ,0,No,No,None,Average,22,0,22,2,,
1949-1953 9Th Ave W,Seattle,WA,98119,"$645,000",3.00,3,"1,730",$373 ,0,No,Yes,Good,Average,17,0,17,2,,
633 Nw 116Th St,Seattle,WA,98177,"$645,000",3.00,3,"1,850",$349 ,0,No,No,Good,Good,72,1983,42,1,,
1673 Rosemont Blvd,Bellevue,WA,98008,"$645,000",3.00,3,"1,740",$371 ,0,No,No,None,Good,50,0,50,2,,
15048 Ne 11Th Pl,Bellevue,WA,98007,"$645,000",4.00,3,"2,430",$265 ,0,No,Yes,None,Excellent,62,0,62,1,,
4117 211Th Pl Ne,Sammamish,WA,98074,"$645,000",4.00,3,"2,690",$240 ,0,No,No,None,Average,40,0,40,2,,
2504 225Th Pl Ne,Sammamish,WA,98074,"$645,000",4.00,3,"3,160",$204 ,0,No,No,None,Average,42,2009,16,2,,
10514 14Th Ave Nw,Seattle,WA,98177,"$645,000",3.00,2,"2,270",$284 ,0,No,Yes,None,Good,69,0,69,1,,
15003 Ne 12Th St,Bellevue,WA,98007,"$642,000",4.00,3,"2,550",$252 ,0,No,Yes,None,Average,61,2000,25,1,,
3964 262Nd Ave Se,Issaquah,WA,98029,"$642,000",4.00,3,"2,560",$251 ,0,No,No,None,Average,33,0,33,2,,
2834 220Th Pl Ne,Sammamish,WA,98074,"$642,000",3.00,3,"2,670",$240 ,0,No,No,None,Average,38,2000,25,1,,
13202 Ne 92Nd Way,Redmond,WA,98052,"$641,633",3.00,3,"2,480",$259 ,0,No,No,None,Average,25,0,25,2,,
6338 284Th Way Ne,Carnation,WA,98014,"$641,000",4.00,3,"2,770",$231 ,1,No,No,None,Average,28,0,28,2,,
6729 Dibble Ave Nw,Seattle,WA,98117,"$641,000",3.00,2,"1,620",$396 ,0,No,Yes,None,Excellent,99,0,99,1,,
3060 124Th Ave Ne,Bellevue,WA,98005,"$640,000",3.00,2,"1,980",$323 ,0,No,No,None,Average,66,1989,36,1,,
12020 Se 76Th St,Newcastle,WA,98056,"$640,000",3.00,3,"2,370",$270 ,0,No,No,None,Average,32,0,32,2,,
11001-11025 169Th Pl Ne,Redmond,WA,98052,"$640,000",4.00,3,"2,341",$273 ,0,No,No,None,Average,28,0,28,2,,
23359 Ne 24Th Pl,Sammamish,WA,98074,"$640,000",3.00,3,"2,140",$299 ,0,No,No,None,Average,34,0,34,2,,
1806 11Th Ave,Seattle,WA,98122,"$640,000",2.00,2,"1,540",$416 ,0,No,No,None,Average,18,0,18,3,,
1816 11Th Ave,Seattle,WA,98122,"$640,000",2.00,2,"1,540",$416 ,0,No,No,None,Average,18,0,18,3,,
8024 Corliss Ave N,Seattle,WA,98103,"$640,000",3.00,2,"1,620",$395 ,0,No,Yes,None,Excellent,78,0,78,1,,
2647 22Nd Ave W,Seattle,WA,98199,"$640,000",3.00,3,"1,690",$379 ,0,No,No,None,Average,18,0,18,2.5,,
3526 Ashworth Ave N,Seattle,WA,98103,"$640,000",2.00,2,"1,760",$364 ,0,No,Yes,None,Good,95,0,95,1,,
2955 36Th Ave S,Seattle,WA,98144,"$640,000",3.00,2,"2,340",$274 ,0,No,Yes,None,Excellent,108,0,108,1,,
8600-8698 30Th Ave Ne,Seattle,WA,98115,"$640,000",4.00,2,"2,560",$250 ,0,No,Yes,None,Good,78,1988,37,1,,
3415 9Th Ave W,Seattle,WA,98119,"$640,000",3.00,2,"1,380",$464 ,0,No,No,None,Average,77,1994,31,1,,
1474 14Th Pl Ne,Issaquah,WA,98029,"$639,888",4.00,3,"2,050",$312 ,0,No,No,None,Average,13,1912,113,2,,
14106 176Th Ave Ne,Redmond,WA,98052,"$639,500",4.00,2,"2,330",$274 ,0,No,No,None,Average,39,0,39,2,,
13615 179Th Ave Ne,Redmond,WA,98052,"$639,000",4.00,3,"2,150",$297 ,0,No,No,None,Good,43,2011,14,2,,
3051 36Th Ave W,Seattle,WA,98199,"$639,000",4.00,2,"1,840",$347 ,0,No,Yes,None,Good,83,1982,43,1,,
6533 193Rd Pl Ne,Redmond,WA,98052,"$638,000",3.00,3,"2,110",$302 ,0,No,No,None,Average,20,0,20,2,,
6318 Sw Marguerite Ct,Seattle,WA,98116,"$638,000",3.00,2,"1,660",$384 ,0,No,Yes,None,Excellent,103,1956,69,1,,
2069 211Th Ave Ne,Sammamish,WA,98074,"$635,700",4.00,3,"3,240",$196 ,0,No,Yes,None,Average,48,2004,21,1,,
6517 Dibble Ave Nw,Seattle,WA,98117,"$635,200",4.00,2,"1,640",$387 ,0,No,Yes,None,Excellent,104,0,104,1,,
15018 Ne 10Th Pl,Bellevue,WA,98007,"$635,000",4.00,2,"1,950",$326 ,0,No,Yes,None,Good,56,0,56,1,,
10068 Ne 142Nd Pl,Kirkland,WA,98034,"$635,000",3.00,3,"3,350",$190 ,0,No,Yes,None,Average,20,0,20,2,,
9788-16090 Ne Quail Creek Dr,Redmond,WA,98053,"$635,000",4.00,3,"3,080",$206 ,1,No,No,None,Average,28,0,28,2,,
7815 Stroud Ave N,Seattle,WA,98103,"$635,000",3.00,3,"1,570",$404 ,0,No,No,None,Average,15,0,15,3,,
2739 31St Ave S,Seattle,WA,98144,"$635,000",3.00,3,"2,300",$276 ,0,No,Yes,None,Good,104,0,104,1.5,,
3821 39Th Ave S,Seattle,WA,98118,"$635,000",4.00,2,"2,750",$231 ,0,No,Yes,None,Good,77,0,77,1,,
4131 51St Ave S,Seattle,WA,98118,"$635,000",3.00,3,"1,960",$324 ,0,No,Yes,None,Good,85,2001,24,1,,
34115 Se Ash St,Snoqualmie,WA,98065,"$633,634",4.00,4,"2,960",$214 ,0,No,No,None,Average,11,0,11,2,,
26021 Ne 25Th St,Redmond,WA,98053,"$633,100",4.00,3,"2,470",$256 ,1,No,No,None,Average,32,0,32,2,,
3323-3325 33Rd Ave Sw,Seattle,WA,98126,"$633,000",4.00,3,"2,360",$268 ,0,No,Yes,Great,Average,48,2004,21,1,,
9181 226Th Pl Ne,Redmond,WA,98053,"$632,500",5.00,3,"2,640",$240 ,0,No,No,None,Average,22,0,22,2,,
21604 Ne 22Nd Ct,Sammamish,WA,98074,"$632,500",4.00,3,"2,090",$303 ,0,No,No,None,Average,39,0,39,2,,
2617 Queen Anne Ave N,Seattle,WA,98109,"$631,500",2.00,1,"1,130",$559 ,0,No,No,None,Good,98,0,98,1,,
2900-2998 Fairmount Ave Sw,Seattle,WA,98116,"$631,500",4.00,2,"2,530",$250 ,0,No,Yes,None,Good,115,0,115,1.5,,
2598 Ne Natalie Way,Issaquah,WA,98029,"$630,000",2.00,3,"2,290",$275 ,0,No,No,None,Average,20,0,20,2,,
25510 Se 159Th St,Issaquah,WA,98027,"$630,000",4.00,4,"4,610",$137 ,1,No,Yes,None,Good,45,0,45,1,,
8820 Ne 160Th Pl,Kenmore,WA,98028,"$630,000",4.00,3,"2,807",$224 ,0,No,No,None,Average,29,0,29,2,,
10515 115Th Pl Ne,Kirkland,WA,98033,"$630,000",3.00,2,"1,710",$368 ,0,No,No,None,Good,39,0,39,1,,
11607 Ne 103Rd Pl,Kirkland,WA,98033,"$630,000",4.00,3,"2,190",$288 ,0,No,Yes,None,Good,46,0,46,1,,
3219 34Th Ave W,Seattle,WA,98199,"$630,000",4.00,2,"1,770",$356 ,0,No,No,None,Excellent,114,1981,44,2,,
18808 215Th Way Ne,Woodinville,WA,98077,"$630,000",4.00,3,"2,740",$230 ,1,No,No,None,Average,32,0,32,2,,
329 Ne Eagle Way,Issaquah,WA,98029,"$629,800",3.00,3,"2,390",$264 ,0,No,Yes,None,Average,17,0,17,2,,
2439 Piedmont Pl W,Seattle,WA,98199,"$629,000",3.00,2,"1,760",$357 ,0,No,Yes,None,Excellent,105,0,105,1,,
8028 27Th Ave Ne,Seattle,WA,98115,"$628,000",4.00,2,"2,260",$278 ,0,No,Yes,None,Average,67,2004,21,1,,
Shangri-La Way Nw,Issaquah,WA,98027,"$627,000",3.00,4,"2,710",$231 ,0,No,Yes,None,Average,20,0,20,2,,
6723 12Th Ave Nw,Seattle,WA,98117,"$626,000",3.00,2,"2,430",$258 ,0,No,Yes,None,Good,80,0,80,2,,
30924 36Th Ave Sw,Federal Way,WA,98023,"$625,000",4.00,3,"4,240",$147 ,1,No,Yes,Great,Average,36,0,36,2,,
3297 S 366Th St,Auburn,WA,98001,"$625,000",3.00,2,"3,160",$198 ,2,No,Yes,None,Good,47,2000,25,1,,
2022 123Rd Ave Se,Bellevue,WA,98005,"$625,000",3.00,2,"2,210",$283 ,0,No,Yes,None,Average,67,2004,21,1,,
13987 Se 2Nd St,Bellevue,WA,98005,"$625,000",5.00,3,"2,700",$231 ,0,No,Yes,None,Good,70,2009,16,1,,
619 9Th Ave,Kirkland,WA,98033,"$625,000",3.00,2,"1,300",$481 ,0,No,No,None,Excellent,65,0,65,1,,
15924 Ne 53Rd St,Redmond,WA,98052,"$625,000",4.00,3,"1,680",$372 ,0,No,No,None,Good,59,0,59,1,,
6619 147Th Ct Ne,Redmond,WA,98052,"$625,000",3.00,2,"2,060",$303 ,0,No,Yes,None,Good,41,0,41,1,,
22922 Ne 14Th St,Sammamish,WA,98074,"$625,000",3.00,3,"2,600",$240 ,0,No,No,None,Average,41,0,41,1,,
512-598 21St Ave,Seattle,WA,98122,"$625,000",3.00,4,"1,810",$345 ,0,No,Yes,None,Good,16,0,16,2,,
10 W Etruria St,Seattle,WA,98119,"$625,000",3.00,3,"1,820",$343 ,0,No,Yes,None,Average,19,0,19,3,,
4754 26Th Ave Sw,Seattle,WA,98106,"$625,000",3.00,3,"2,440",$256 ,0,No,No,None,Average,11,0,11,2,,
9510 28Th Ave Nw,Seattle,WA,98117,"$625,000",4.00,1,"1,600",$391 ,0,No,No,None,Good,79,1989,36,1.5,,
6519 Sword Fern Ave Se,Snoqualmie,WA,98065,"$625,000",4.00,3,"3,550",$176 ,0,No,No,None,Average,18,0,18,2,,
16021 Ne 203Rd Pl,Woodinville,WA,98072,"$625,000",4.00,3,"2,630",$238 ,1,No,No,None,Average,39,0,39,2,,
14828 Ne 163Rd St,Woodinville,WA,98072,"$625,000",3.00,3,"2,410",$259 ,1,No,Yes,None,Good,49,1992,33,1,,
3726 Gallagher Hill Rd,Mercer Island,WA,98040,"$624,800",3.00,2,"2,250",$278 ,0,No,Yes,None,Good,61,0,61,1,,
12833 Ne 101St Pl,Kirkland,WA,98033,"$623,000",3.00,3,"1,850",$337 ,0,No,No,None,Excellent,36,0,36,2,,
4009 97Th Ave Se,Mercer Island,WA,98040,"$623,000",3.00,2,"2,050",$304 ,0,No,No,None,Fair,52,0,52,1,,
34823 Rhododendron Dr Se,Snoqualmie,WA,98065,"$622,500",4.00,3,"2,980",$209 ,0,No,No,None,Average,25,0,25,2,,
14523 Ne 169Th St,Woodinville,WA,98072,"$622,500",5.00,3,"3,320",$188 ,1,No,Yes,None,Good,50,0,50,2,,
23857 Se 98Th Pl,Issaquah,WA,98027,"$620,000",3.00,2,"2,460",$252 ,1,No,No,None,Good,37,0,37,1,,
26118 Se 39Th Ct,Issaquah,WA,98029,"$620,000",4.00,3,"2,680",$231 ,0,No,No,None,Average,36,0,36,2,,
4513 186Th Ave Se,Issaquah,WA,98027,"$620,000",4.00,3,"1,910",$325 ,0,No,No,None,Average,38,2000,25,2,,
2540 265Th Ave Ne,Redmond,WA,98053,"$620,000",4.00,3,"2,450",$253 ,1,No,No,None,Average,31,0,31,2,,
8719 228Th Way Ne,Redmond,WA,98053,"$620,000",3.00,3,"2,480",$250 ,0,No,No,None,Average,21,2003,22,2,,
2215 E Miller St,Seattle,WA,98112,"$620,000",2.00,1,"1,430",$434 ,0,No,Yes,None,Average,96,0,96,1.5,,
5255 39Th Ave Ne,Seattle,WA,98105,"$620,000",3.00,2,"1,720",$360 ,0,No,Yes,None,Good,104,0,104,1.5,,
6509 10Th Ave Nw,Seattle,WA,98117,"$620,000",4.00,2,"2,400",$258 ,0,No,Yes,None,Good,96,0,96,1.5,,
7558 32Nd Ave Nw,Seattle,WA,98117,"$620,000",5.00,3,"2,540",$244 ,0,No,Yes,None,Excellent,96,0,96,2,,
4002 50Th Ave Sw,Seattle,WA,98116,"$620,000",4.00,3,"2,130",$291 ,0,No,Yes,None,Excellent,77,1985,40,1,,
11331 19Th Ave Ne,Seattle,WA,98125,"$620,000",3.00,3,"2,590",$239 ,0,No,No,None,Average,21,2003,22,2,,
6101-6149 Corliss Ave N,Seattle,WA,98103,"$620,000",3.00,1,"1,710",$363 ,0,No,No,None,Average,116,2004,21,1.5,,
2822 Nw 90Th Pl,Seattle,WA,98117,"$620,000",3.00,2,"1,620",$383 ,0,No,Yes,None,Average,71,2005,20,1,,
6731 Silent Creek Ave Se,Snoqualmie,WA,98065,"$620,000",6.00,4,"3,600",$172 ,0,No,Yes,None,Average,21,2003,22,2,,
4802 122Nd Ave Se,Bellevue,WA,98006,"$619,850",4.00,3,"2,270",$273 ,0,No,Yes,None,Excellent,53,0,53,1,,
1778 26Th Ave Ne,Issaquah,WA,98029,"$619,500",3.00,3,"2,170",$285 ,0,No,No,None,Average,22,0,22,2,,
3113 E Cherry St,Seattle,WA,98122,"$619,500",3.00,3,"1,700",$364 ,0,No,No,None,Average,33,0,33,2,,
8537 135Th Ave Se,Newcastle,WA,98059,"$619,420",4.00,3,"2,450",$253 ,0,No,No,None,Good,37,0,37,2,,
8044 14Th Avenue Northeast,Seattle,WA,98115,"$619,400",4.00,2,"2,090",$296 ,0,No,Yes,None,Excellent,98,0,98,1.5,,
308 Nw 67Th St,Seattle,WA,98117,"$619,000",4.00,2,"2,300",$269 ,0,No,Yes,None,Excellent,110,0,110,1.5,,
8054 Brooklyn Ave Ne,Seattle,WA,98115,"$619,000",4.00,2,"1,660",$373 ,0,No,No,None,Average,99,2003,22,1.5,,
6516 Denny Peak Dr Se,Snoqualmie,WA,98065,"$619,000",3.00,3,"2,720",$228 ,0,No,No,None,Average,20,0,20,2,,
7019 Brooklyn Ave Ne,Seattle,WA,98115,"$618,250",4.00,3,"2,520",$245 ,0,No,Yes,None,Good,94,0,94,1.5,,
24106 Ne 6Th Pl,Sammamish,WA,98074,"$616,000",4.00,3,"2,490",$247 ,0,No,No,None,Average,42,2009,16,2,,
4003 W Emerson St,Seattle,WA,98199,"$616,000",4.00,2,"1,700",$362 ,0,No,No,None,Average,68,2000,25,1,,
23014 Vashon Hwy Sw,Vashon,WA,98070,"$615,000",2.00,2,"2,040",$301 ,1,Yes,No,Great,Good,106,1990,35,1.5,,
4941-4949 125Th Ave Se,Bellevue,WA,98006,"$615,000",4.00,3,"2,820",$218 ,0,No,Yes,None,Average,60,1993,32,1,,
14151 174Th Pl Ne,Redmond,WA,98052,"$615,000",4.00,3,"2,150",$286 ,0,No,No,None,Good,40,0,40,2,,
2206 Sahalee Dr E,Sammamish,WA,98074,"$615,000",5.00,2,"2,480",$248 ,0,No,No,None,Average,47,0,47,2,,
7-19 210Th Pl Ne,Sammamish,WA,98074,"$615,000",3.00,2,"2,350",$262 ,0,No,Yes,None,Good,47,2000,25,1,,
3219 37Th Pl S,Seattle,WA,98144,"$615,000",3.00,2,"1,720",$358 ,0,No,Yes,None,Good,101,0,101,1,,
601 22Nd Ave,Seattle,WA,98122,"$615,000",3.00,2,"1,760",$349 ,0,No,No,None,Average,11,0,11,3,,
3220 44Th Ave Sw,Seattle,WA,98116,"$615,000",5.00,2,"2,130",$289 ,0,No,Yes,None,Excellent,99,0,99,1.5,,
7407-7411 28Th Ave Nw,Seattle,WA,98117,"$615,000",2.00,1,"1,270",$484 ,0,No,Yes,None,Average,76,1998,27,1,,
2425 Westview Dr W,Seattle,WA,98119,"$613,000",2.00,2,"1,170",$524 ,0,No,No,Fair,Good,98,0,98,1.5,,
1813 177Th Ave Ne,Bellevue,WA,98008,"$613,000",5.00,3,"2,070",$296 ,0,No,Yes,None,Good,58,0,58,1,,
819 31St Ave,Seattle,WA,98122,"$613,000",3.00,3,"1,350",$454 ,0,No,No,None,Average,34,0,34,2,,
5212 Wallingford Ave N,Seattle,WA,98103,"$613,000",4.00,2,"1,550",$395 ,0,No,No,None,Average,116,2004,21,1.5,,
373 Ne Eagle Way,Issaquah,WA,98029,"$611,000",3.00,3,"2,134",$286 ,0,No,No,None,Average,17,0,17,2.5,,
820 Idylwood Dr Sw,Issaquah,WA,98027,"$611,000",6.00,3,"3,820",$160 ,1,No,Yes,None,Good,51,0,51,1,,
23911 Se 6Th St,Redmond,WA,98074,"$611,000",4.00,3,"2,460",$248 ,0,No,No,None,Average,27,2006,19,2,,
21132 Ne 42Nd St,Sammamish,WA,98074,"$610,750",4.00,2,"2,180",$280 ,0,No,No,None,Average,41,0,41,2,,
9319 45Th Ave Sw,Seattle,WA,98136,"$610,000",4.00,3,"2,110",$289 ,0,No,Yes,Good,Good,95,0,95,1.5,,
335-345 105Th Ave Se,Bellevue,WA,98004,"$610,000",3.00,2,"2,300",$265 ,0,No,Yes,None,Average,70,2005,20,1,,
6194-6470 E Mercer Way,Mercer Island,WA,98040,"$610,000",4.00,2,"1,830",$333 ,1,No,Yes,None,Average,35,2009,16,2,,
9954 227Th Way Ne,Redmond,WA,98053,"$610,000",3.00,3,"2,630",$232 ,0,No,No,None,Average,24,0,24,2,,
21301-21399 Se 19Th St,Sammamish,WA,98075,"$610,000",4.00,3,"2,600",$235 ,1,No,Yes,None,Excellent,49,0,49,1,,
431 26Th Ave E,Seattle,WA,98112,"$610,000",5.00,3,"3,990",$153 ,0,No,Yes,None,Good,63,0,63,1,,
9311 Nye Ave Se,Snoqualmie,WA,98065,"$610,000",4.00,4,"2,910",$210 ,0,No,No,None,Average,13,1912,113,2,,
27465 254Th Way Se,Maple Valley,WA,98038,"$609,900",4.00,3,"3,190",$191 ,0,No,No,None,Average,19,0,19,2,,
3644 Phinney Ave N,Seattle,WA,98103,"$609,000",3.00,2,"1,630",$374 ,0,No,No,None,Average,11,0,11,3,,
10500-10598 Ne 168Th St,Bothell,WA,98011,"$608,000",4.00,3,"2,490",$244 ,0,No,Yes,None,Good,42,0,42,1,,
9754 228Th Terrace Ne,Redmond,WA,98053,"$608,000",4.00,3,"2,690",$226 ,0,No,No,None,Average,24,0,24,2,,
1537 Nw 58Th St,Seattle,WA,98107,"$607,500",3.00,3,"1,530",$397 ,0,No,No,None,Average,19,0,19,3,,
3047 21St Ave W,Seattle,WA,98199,"$607,500",5.00,2,"2,220",$274 ,0,No,Yes,None,Average,102,1998,27,1.5,,
3126 108Th Ave Se,Bellevue,WA,98004,"$607,000",3.00,1,"1,230",$493 ,0,No,No,None,Good,74,1999,26,1,,
128 Nw 59Th St,Seattle,WA,98107,"$606,000",3.00,1,"1,500",$404 ,0,No,Yes,None,Average,78,2012,13,1,,
12504 Ne 163Rd St,Woodinville,WA,98072,"$605,500",3.00,3,"2,830",$214 ,0,No,No,None,Average,36,0,36,2,,
2825 W Jameson St,Seattle,WA,98199,"$605,004",4.00,2,"1,370",$442 ,0,No,No,None,Average,74,1994,31,2,,
16901-17007 Ne 160Th Pl,Woodinville,WA,98072,"$605,000",3.00,3,"2,670",$227 ,1,No,No,Great,Average,44,2013,12,2,,
16674 Se 17Th St,Bellevue,WA,98008,"$605,000",4.00,3,"2,800",$216 ,0,No,Yes,None,Average,55,2014,11,1,,
15611 72Nd Ave Ne,Kenmore,WA,98028,"$605,000",4.00,2,"2,940",$206 ,1,No,Yes,None,Excellent,64,0,64,1,,
8113 120Th Pl Se,Newcastle,WA,98056,"$605,000",4.00,3,"2,620",$231 ,0,No,No,None,Average,29,0,29,2,,
14150 176Th Ave Ne,Redmond,WA,98052,"$605,000",3.00,2,"2,010",$301 ,0,No,No,None,Average,40,0,40,2,,
2408 178Th Ave Ne,Redmond,WA,98052,"$605,000",3.00,2,"2,080",$291 ,0,No,Yes,None,Good,52,0,52,1,,
411 27Th Ave E,Seattle,WA,98112,"$605,000",3.00,2,"1,290",$469 ,0,No,No,None,Good,38,0,38,2,,
510 N 70Th St,Seattle,WA,98103,"$605,000",3.00,2,"2,060",$294 ,0,No,Yes,None,Good,78,1988,37,1,,
1617-1621 3Rd Ave W,Seattle,WA,98119,"$605,000",2.00,1,910,$665 ,0,No,No,None,Good,116,1989,36,1,,
7102 Curtis Dr Se,Snoqualmie,WA,98065,"$605,000",3.00,3,"2,610",$232 ,0,No,No,None,Average,24,0,24,2,,
27318 10Th Pl S,Des Moines,WA,98198,"$604,700",4.00,3,"2,750",$220 ,0,No,Yes,Great,Average,44,2013,12,1,,
19304 65Th Ave Ne,Kenmore,WA,98028,"$603,500",4.00,3,"4,060",$149 ,0,No,Yes,Excellent,Average,48,2004,21,1,,
12526 Se 61St St,Bellevue,WA,98006,"$603,500",6.00,3,"2,660",$227 ,0,No,Yes,None,Excellent,63,0,63,1,,
3823 242Nd Ave Se,Issaquah,WA,98029,"$602,761",4.00,3,"2,770",$218 ,0,No,No,None,Average,36,0,36,2,,
7606 116Th Ave Se,Newcastle,WA,98056,"$602,500",4.00,3,"2,760",$218 ,0,No,No,None,Average,26,0,26,2,,
23607 Ne 72Nd St,Redmond,WA,98053,"$602,000",4.00,2,"2,420",$249 ,1,No,Yes,None,Good,44,0,44,1,,
6305 150Th Ave Ne,Redmond,WA,98052,"$602,000",5.00,2,"3,290",$183 ,0,No,No,None,Average,52,2013,12,1.5,,
19560 44Th Ave Ne,Lake Forest Park,WA,98155,"$600,000",4.00,3,"4,690",$128 ,0,No,Yes,Good,Average,30,0,30,2,,
12048 Standring Ct Sw,Burien,WA,98146,"$600,000",4.00,3,"1,960",$306 ,0,No,Yes,Fair,Good,67,1972,53,1,,
1800 172Nd Ave Ne,Bellevue,WA,98008,"$600,000",4.00,2,"1,740",$345 ,0,No,No,None,Excellent,57,0,57,1,,
5718 147Th Ave Ne,Bellevue,WA,98007,"$600,000",3.00,2,"2,230",$269 ,0,No,No,None,Good,38,0,38,2,,
12501 Se 4Th Pl,Bellevue,WA,98005,"$600,000",3.00,2,"1,580",$380 ,0,No,Yes,None,Average,58,2011,14,1,,
17221 102Nd Ave Ne,Bothell,WA,98011,"$600,000",2.00,3,"2,510",$239 ,0,No,No,None,Average,35,2009,16,2,,
31611 Ne Cherry Valley Rd,Duvall,WA,98019,"$600,000",3.00,3,"2,630",$228 ,2,No,No,None,Average,21,2003,22,2,,
37124-37118 237Th Pl Se,Enumclaw,WA,98022,"$600,000",3.00,2,"2,540",$236 ,5,No,No,None,Average,18,0,18,1,,
31600-31726 Se Issaquah-Fall City Rd,Fall City,WA,98024,"$600,000",2.00,3,"2,410",$249 ,2,No,Yes,None,Good,113,1989,36,1,,
769-821 Big Tree Dr Nw,Issaquah,WA,98027,"$600,000",3.00,3,"2,320",$259 ,0,No,No,None,Average,22,0,22,2,,
2830 216Th Ave Se,Issaquah,WA,98075,"$600,000",4.00,3,"2,620",$229 ,0,No,No,None,Average,38,2000,25,2,,
12362 76Th Ct Ne,Kirkland,WA,98034,"$600,000",4.00,3,"2,250",$267 ,0,No,No,None,Average,34,0,34,2,,
8410 Ne 124Th St,Kirkland,WA,98034,"$600,000",4.00,3,"2,360",$254 ,0,No,No,None,Average,24,0,24,2,,
12869-12951 Ne 144Th Way,Kirkland,WA,98034,"$600,000",4.00,2,"3,070",$195 ,0,No,No,None,Good,55,0,55,2,,
13507 62Nd Ave Ne,Kirkland,WA,98034,"$600,000",4.00,2,"2,510",$239 ,1,No,No,None,Average,65,2012,13,1,,
14314 Ne 72Nd St,Redmond,WA,98052,"$600,000",5.00,2,"2,190",$274 ,0,No,Yes,None,Excellent,60,0,60,1,,
22801-22899 Ne 100Th Pl,Redmond,WA,98053,"$600,000",4.00,3,"2,560",$234 ,0,No,No,None,Average,24,0,24,2,,
